common name	species name	evidence	ERP (y/n)	maximum life span (anAge)	estimated upper age of acyclicity onset	% life acyclic (using max life-span)	population (captive or wild)	indicator	n	reference	year	link	Order*	Excluded
False killer whale 	Pseudorca crassidens	morphological	y	NA	NA	NA	wild	corpora lutea	10 (>10)	Elis et al.	2018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110730/pdf/41598_2018_Article_31047.pdf	Cetacea	n
pied tamarin	Saguinus bicolor	demographics	n	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
brown-mantled tamarin	Saguinus fuscicollis	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
Geoffroy's tamarin	Saguinus geoffroyi	demographics	n	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
Bearded emperor tamarin	Saguinus imperator	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
white-lipped tamarin	Saguinus labiatus	demographics	n	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
red-handed tamarin	Saguinus midas	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
cotton-top tamarin	Saguinus oedipus	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
black-capped squirrel monkey	Saimiri boliviensis	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
Squirrel monkey	Saimiri sciureus	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
capuchin	Sapajus apella	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
northern plains gray langur	Semnopithecus entellus	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
shrews	Sorex araneus	NA	NA	NA	NA	NA	NA	NA	NA	NA et al.	NA	NA	Scandentia	n
common shrew	Sorex araneus	NA	NA	NA	NA	NA	NA	NA	NA	NA et al.	NA	NA	Soricomorpha	n
Tailles tenrec	Tenrec ecaudatus	NA	NA	NA	NA	NA	NA	NA	NA	NA et al.	NA	NA	Afrosoricida	n
gelada	Therapithecus gelada	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
East Javan langur	Trachypithecus auratus	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
silvered lutung	Trachypithecus cristatus	demographics	n	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
Dusky Leaf Monkey	Trachypithecus obscurus	demographics	n	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
manatees	Trichechus manatus	NA	NA	NA	NA	NA	NA	NA	NA	NA et al.	NA	NA	Sirenia	n
black-and-white ruffed lemur	Varecia variegate	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
Long-finned pilot whale	Globicephala melas	molecular	n	60	NA	NA	wild	corpora lutea	4 (NA)	Elis et al.	2018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110730/pdf/41598_2018_Article_31047.pdf	Cetacea	y
Melon-headed whale	Peponocephala electra	molecular	n	47	NA	NA	wild	corpora lutea	0 (NA)	Elis et al.	2018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110730/pdf/41598_2018_Article_31047.pdf	Cetacea	y
Sperm whale	Physeter macrocephalus	molecular	n	77	NA	NA	wild	corpora lutea	0 (NA)	Elis et al.	2018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110730/pdf/41598_2018_Article_31047.pdf	Cetacea	y
Pantropical spotted dolphin	Stenella attenuata	molecular	n	46	NA	NA	wild	corpora lutea	3 (NA)	Elis et al.	2018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110730/pdf/41598_2018_Article_31047.pdf	Cetacea	y
Striped dolphin	Stenella coeruleoalba	molecular	n	57.5	NA	NA	wild	corpora lutea	0 (NA)	Elis et al.	2018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110730/pdf/41598_2018_Article_31047.pdf	Cetacea	y
Spinner dolphin	Stenella longirostris	molecular	n	NA	NA	NA	wild	corpora lutea	NA	Elis et al.	2018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110730/pdf/41598_2018_Article_31047.pdf	Cetacea	y
Common bottlenose dolphins	Tursiops truncatus	molecular	n	51.6	NA	NA	wild	corpora lutea	1 (NA)	Elis et al.	2018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110730/pdf/41598_2018_Article_31047.pdf	Cetacea	y
beaked whale	Berardius bairdii	molecular	y	84	NA	NA	wild	corpora lutea	0 (NA)	Elis et al.	2018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110730/pdf/41598_2018_Article_31047.pdf	Cetacea	y
